Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Anel Ahmedhodzic\eab957a3,ba BIH,DF,21,25,25,2250,25,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches
Antonio ?olak\bfde3de5,hr CRO,FW,27,26,24,2123,23.6,14,4,12,2,3,3,0,0.59,0.17,0.76,0.51,0.68,Matches
Veljko Birman?evi?\636247ca,rs SRB,MFFW,22,28,23,1958,21.8,9,2,9,0,0,2,0,0.41,0.09,0.51,0.41,0.51,Matches
Jo Inge Berget\f512a009,no NOR,MFFW,30,27,22,2012,22.4,5,7,4,1,1,3,0,0.22,0.31,0.54,0.18,0.49,Matches
Johan Dahlin\a04e2dd2,se SWE,GK,34,19,19,1665,18.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Franz Brorsson\08d37c53,se SWE,DF,25,24,18,1629,18.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Anders Christiansen\770ebf00,dk DEN,MF,30,22,18,1481,16.5,6,9,4,2,2,4,0,0.36,0.55,0.91,0.24,0.79,Matches
Eric Larsson\8474cb83,se SWE,DFMF,29,23,17,1634,18.2,0,6,0,0,0,4,0,0,0.33,0.33,0,0.33,Matches
Lasse Nielsen\06e5b0e4,dk DEN,DF,33,20,16,1484,16.5,1,1,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,Matches
Adi Nalic\ad597bf7,ba BIH,MFFW,23,29,15,1575,17.5,7,3,7,0,0,5,0,0.4,0.17,0.57,0.4,0.57,Matches
Erdal Rakip\e150254d,mk MKD,MF,24,25,15,1539,17.1,2,2,2,0,0,6,0,0.12,0.12,0.23,0.12,0.23,Matches
Bonke Innocent\546bb36e,ng NGA,MF,25,17,15,1210,13.4,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Søren Rieks\572498c7,dk DEN,MF,33,18,14,1107,12.3,6,1,6,0,0,3,0,0.49,0.08,0.57,0.49,0.57,Matches
Jonas Knudsen\ec48abb1,dk DEN,DF,28,12,12,1039,11.5,1,1,1,0,0,2,0,0.09,0.09,0.17,0.09,0.17,Matches
Felix Beijmo\71115017,se SWE,DF,23,14,11,978,10.9,0,1,0,0,0,1,0,0,0.09,0.09,0,0.09,Matches
Martin Olsson\2f72f79e,se SWE,DFMF,32,13,10,863,9.6,0,1,0,0,0,1,0,0,0.1,0.1,0,0.1,Matches
Marko Johansson\d0975397,se SWE,GK,22,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Oscar Lewicki\0c09c984,se SWE,MF,28,11,8,605,6.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Sergio Peña\eda8506a,pe PER,MF,25,9,7,582,6.5,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Ola Toivonen\de4fe7a2,se SWE,MFFW,34,8,7,510,5.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Niklas Moisander\00844823,fi FIN,DF,35,9,6,609,6.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Sebastian Nanasi\ce747d2a,se SWE,MFFW,18,13,6,590,6.6,1,0,1,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
Malik Abubakari\47aaf574,gh GHA,FW,20,15,5,543,6,3,1,3,0,0,4,0,0.5,0.17,0.66,0.5,0.66,Matches
Pavle Vagi?\8f906c5f,se SWE,MF,21,7,5,490,5.4,0,1,0,0,0,2,0,0,0.18,0.18,0,0.18,Matches
Ismael Diawara\a9107589,ml MLI,GK,26,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Peter Gwargis\3fd07ca3,se SWE,MF,20,5,1,85,0.9,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Amin Sarr\d5326924,se SWE,FW,19,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Noah Eile\e1574c2d,se SWE,DF,18,3,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Markus Björkvist\848b190c,se SWE,MF,17,4,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Emil Lindman\1be8c1b9,se SWE,DF,17,0,0,,,,,,,,,,,,,,,Matches
Mattias Nilsson\e5f58241,se SWE,GK,21,0,0,,,,,,,,,,,,,,,Matches
Patriot Sejdiu\57d9707f,xk KVX,FW,20,0,0,,,,,,,,,,,,,,,Matches
