Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Yann-Alexandre Fillion\2f9592b0,ca CAN,GK,AC Oulu,24,1996,21,21,1845,20.5,,,,,,4,5,12,6,28.6,1,1,0,0,0,Matches
Oskari Forsman\9f7b9c00,fi FIN,GK,IFK Mariehamn,33,1988,25,25,2250,25,,,,,,9,3,13,4,16,7,7,0,0,0,Matches
Aatu Hakala\da1db4b0,fi FIN,GK,Haka,20,2000,8,8,720,8,,,,,,5,2,1,6,75,0,0,0,0,,Matches
Mika Hilander\53e32365,fi FIN,GK,Haka,37,1983,19,19,1710,19,,,,,,5,3,11,4,21.1,1,1,0,0,0,Matches
Eetu Huuhtanen\d661c31f,fi FIN,GK,Ilves,18,2003,3,3,270,3,,,,,,0,1,2,0,0,0,0,0,0,,Matches
Hugo Keto\21d45036,fi FIN,GK,HJK,22,1998,21,21,1890,21,,,,,,13,4,4,9,42.9,2,2,0,0,0,Matches
Johannes Kreidl\bfcf986d,at AUT,GK,KuPS,24,1996,23,22,1982,22,,,,,,16,6,0,12,54.5,1,1,0,0,0,Matches
Rasmus Leislahti\652afb4e,fi FIN,GK,Ilves,20,2000,24,24,2160,24,,,,,,11,2,11,10,41.7,1,1,0,0,0,Matches
Anton Lepola\715dba94,fi FIN,GK,KTP,24,1996,26,26,2340,26,,,,,,2,5,19,3,11.5,2,2,0,0,0,Matches
Aati Marttinen\cc020080,fi FIN,GK,Inter Turku,23,1997,2,2,180,2,,,,,,0,1,1,0,0,0,0,0,0,,Matches
Henrik Moisander\feb2666a,fi FIN,GK,Inter Turku,35,1985,25,25,2250,25,,,,,,14,2,9,9,36,4,4,0,0,0,Matches
Tim Murray\dd0d043b,us USA,GK,FC Honka,33,1987,26,26,2312,25.7,,,,,,8,6,12,4,15.4,3,3,0,0,0,Matches
Marc Nordqvist\32267da4,fi FIN,GK,IFK Mariehamn,23,1997,2,2,180,2,,,,,,0,0,2,0,0,1,1,0,0,0,Matches
Jesse Öst\4189fccc,fi FIN,GK,SJK,30,1990,27,27,2430,27,,,,,,14,6,7,9,33.3,1,1,0,0,0,Matches
Roope Paunio\6a782f71,fi FIN,GK,FC Honka,18,2002,2,1,118,1.3,,,,,,1,0,0,0,0,0,0,0,0,,Matches
Juhani Pennanen\98ebfe33,fi FIN,GK,AC Oulu,27,1993,7,6,585,6.5,,,,,,2,0,4,0,0,1,1,0,0,0,Matches
Pyry Piirainen\c1aec178,fi FIN,GK,KTP,20,2000,1,1,90,1,,,,,,0,0,1,0,0,2,2,0,0,0,Matches
Antonio Reguero\c698c3f3,es ESP,GK,Lahti,38,1982,21,21,1890,21,,,,,,7,7,7,5,23.8,4,4,0,0,0,Matches
Jakob Tånnander\c631ba63,se SWE,GK,HJK,20,2000,6,6,540,6,,,,,,5,1,0,5,83.3,0,0,0,0,,Matches
Joona Tiainen\d7552077,fi FIN,GK,Lahti,20,2000,6,6,540,6,,,,,,3,3,0,3,50,0,0,0,0,,Matches
Markus Uusitalo\1b8768b5,fi FIN,GK,HIFK,23,1997,13,13,1170,13,,,,,,3,5,5,3,23.1,2,2,0,0,0,Matches
Otso Virtanen\d899ef92,fi FIN,GK,KuPS,26,1994,5,5,448,5,,,,,,1,1,3,2,40,0,0,0,0,,Matches
Calum Ward\6b68180b,eng ENG,GK,HIFK,20,2000,14,14,1260,14,,,,,,6,3,5,8,57.1,1,1,0,0,0,Matches
